Year MO DY HR MN BOUH
2013 04 02 00 00 20819.61
2013 04 02 00 01 20819.40
2013 04 02 00 02 20819.38
2013 04 02 00 03 20819.09
2013 04 02 00 04 20819.45
2013 04 02 00 05 20819.84
2013 04 02 00 06 20820.05
2013 04 02 00 07 20819.93
2013 04 02 00 08 20819.93
2013 04 02 00 09 20819.45
2013 04 02 00 10 20819.09
2013 04 02 00 11 20819.10
2013 04 02 00 12 20818.82
2013 04 02 00 13 20818.78
2013 04 02 00 14 20818.74
2013 04 02 00 15 20818.43
2013 04 02 00 16 20818.08
2013 04 02 00 17 20817.69
2013 04 02 00 18 20817.50
2013 04 02 00 19 20817.36
2013 04 02 00 20 20817.07
2013 04 02 00 21 20816.77
2013 04 02 00 22 20816.58
2013 04 02 00 23 20816.40
2013 04 02 00 24 20816.31
2013 04 02 00 25 20816.38
2013 04 02 00 26 20816.20
2013 04 02 00 27 20815.95
2013 04 02 00 28 20815.78
2013 04 02 00 29 20815.67
2013 04 02 00 30 20815.77
2013 04 02 00 31 20815.63
2013 04 02 00 32 20815.53
2013 04 02 00 33 20815.43
2013 04 02 00 34 20815.33
2013 04 02 00 35 20815.42
2013 04 02 00 36 20815.30
2013 04 02 00 37 20815.01
2013 04 02 00 38 20814.94
2013 04 02 00 39 20814.82
2013 04 02 00 40 20814.72
2013 04 02 00 41 20814.62
2013 04 02 00 42 20814.72
2013 04 02 00 43 20814.57
2013 04 02 00 44 20814.48
2013 04 02 00 45 20814.53
2013 04 02 00 46 20814.53
2013 04 02 00 47 20814.59
2013 04 02 00 48 20814.54
2013 04 02 00 49 20814.36
2013 04 02 00 50 20814.31
2013 04 02 00 51 20814.52
2013 04 02 00 52 20814.43
2013 04 02 00 53 20814.59
2013 04 02 00 54 20813.89
2013 04 02 00 55 20813.83
2013 04 02 00 56 20813.52
2013 04 02 00 57 20813.33
2013 04 02 00 58 20813.47
2013 04 02 00 59 20813.21
2013 04 02 01 00 20812.62
2013 04 02 01 01 20812.45
2013 04 02 01 02 20812.05
2013 04 02 01 03 20812.00
2013 04 02 01 04 20812.13
2013 04 02 01 05 20812.05
2013 04 02 01 06 20812.24
2013 04 02 01 07 20812.09
2013 04 02 01 08 20811.93
2013 04 02 01 09 20811.88
2013 04 02 01 10 20812.12
2013 04 02 01 11 20812.25
2013 04 02 01 12 20812.34
2013 04 02 01 13 20812.50
2013 04 02 01 14 20812.42
2013 04 02 01 15 20812.20
2013 04 02 01 16 20812.38
2013 04 02 01 17 20812.40
2013 04 02 01 18 20812.33
2013 04 02 01 19 20812.42
2013 04 02 01 20 20812.65
2013 04 02 01 21 20812.80
2013 04 02 01 22 20812.79
2013 04 02 01 23 20812.72
2013 04 02 01 24 20812.60
2013 04 02 01 25 20812.38
2013 04 02 01 26 20812.35
2013 04 02 01 27 20812.33
2013 04 02 01 28 20812.50
2013 04 02 01 29 20812.50
2013 04 02 01 30 20812.40
2013 04 02 01 31 20812.37
2013 04 02 01 32 20812.29
2013 04 02 01 33 20812.34
2013 04 02 01 34 20812.49
2013 04 02 01 35 20812.52
2013 04 02 01 36 20812.54
2013 04 02 01 37 20812.53
2013 04 02 01 38 20812.47
2013 04 02 01 39 20812.49
2013 04 02 01 40 20812.48
2013 04 02 01 41 20812.34
2013 04 02 01 42 20812.16
2013 04 02 01 43 20812.52
2013 04 02 01 44 20811.81
2013 04 02 01 45 20811.38
2013 04 02 01 46 20811.31
2013 04 02 01 47 20811.32
2013 04 02 01 48 20811.23
